NEIGHBORHOOD,total_shelters,total_occupied_beds,total_available_beds,total_user_count
Abbotsford,241,0,0,17663
Airport Corporate Centre,265,0,0,41302
Akina,659,17671,18131,17671
Alexandra Park,481,0,0,69660
Badgerow,240,5605,5608,5605
Bathurst Quay,961,64803,65060,64803
Bracondale Hill,240,3839,4080,3839
Brampton,240,2985,3600,2985
Cheylesmore,240,7199,7200,7199
Church-Wellesley Village,481,14282,14630,14282
City of Red Deer,241,6656,6748,6656
Danforth East,325,15174,15180,15174
Dovercourt,240,3818,3840,3818
Downtown Yonge,824,26053,26207,37333
East Bayfront Precinct,241,18769,18786,18769
Edwardsburgh/Cardinal,241,12483,12532,12483
Enmore,390,4533,4539,94714
Etobicoke,1228,19917,19920,220747
Eveswell,240,5781,5783,5781
Garden District,481,10192,10193,21516
George Street,1426,83619,84227,83619
Hamilton,241,11911,12050,11911
Harbord Village,650,5594,6160,5594
Johnsonville,240,17275,17280,17275
Kensington Market,481,38199,38207,38199
Kerrydale,241,0,0,11835
Kingston,721,39205,39218,39205
London,71,2436,2611,2436
Manhattan,114,5465,5696,5465
Manifold Heights,241,16577,16834,16577
Mitton Village,480,22534,22539,41828
Moore Park,480,14868,14874,14868
Morphett Vale,240,0,0,21401
Moss Park,481,63319,63344,82354
Mystic Bridge Historic District,241,1205,1205,1205
Northampton,241,14691,14691,14691
Old Toronto,868,47982,48279,47982
Oshawa,241,7156,7157,7156
Pape Village,240,5410,5411,5410
Richmond Hill,85,1679,1829,1679
Roncesvalles,241,0,0,9398
Scarborough,1063,15851,16526,142829
St Loyes,246,12907,12950,12907
St. James Town,481,2207,2344,9527
The Annex,960,14744,14783,17640
The Junction,241,14942,14942,14942
Toronto,962,41161,41740,41161
Trefann Court,241,1138,1205,1138
Wallace Emerson,241,10120,10122,10120
Waterdown,241,8851,8917,8851
West Bend,240,20625,20629,20625
Willaston,240,18634,18634,18634
Woollahra,482,27447,27946,27447
York,481,17493,17507,17493
Yorkdale Heights,241,16813,16823,16813
NA,1402,65208,65553,80007
